"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Register using a valid full name, email and password","SUCCESS","2023-05-07T12:03:52.3275251+07:00[Asia/Jakarta]","0.0","11.51"
"Authentication","Login with registered or correct email and password","SUCCESS","2023-05-07T12:04:03.9477067+07:00[Asia/Jakarta]","0.0","0.31"
"Authentication","view user information","SUCCESS","2023-05-07T12:04:04.3584007+07:00[Asia/Jakarta]","0.0","0.37"
"Products","GET All Product","SUCCESS","2023-05-07T12:04:04.8770138+07:00[Asia/Jakarta]","0.0","0.98"
"Products","GET Product by id","SUCCESS","2023-05-07T12:04:05.9810601+07:00[Asia/Jakarta]","0.0","0.5"
"Products","Add new product","SUCCESS","2023-05-07T12:04:06.8188194+07:00[Asia/Jakarta]","0.0","0.54"
"Products","DELETE Product","SUCCESS","2023-05-07T12:04:07.4291865+07:00[Asia/Jakarta]","0.0","0.39"
"Products","GET products rating","SUCCESS","2023-05-07T12:04:07.8495425+07:00[Asia/Jakarta]","0.0","0.35"
"Products","POST As admin I have be able to create new products rating","PENDING","2023-05-07T12:04:08.464895+07:00[Asia/Jakarta]","0.0","0.07"
"Products","GET products comment","SUCCESS","2023-05-07T12:04:08.6892963+07:00[Asia/Jakarta]","0.0","0.37"
"Products","POST As admin I have be able to create new products comment","PENDING","2023-05-07T12:04:09.1640254+07:00[Asia/Jakarta]","0.0","0.05"
"order","GET All Order","SUCCESS","2023-05-07T12:04:09.2976682+07:00[Asia/Jakarta]","0.0","0.47"
"order","POST As admin I have be able to create new order","FAILURE","2023-05-07T12:04:09.8102956+07:00[Asia/Jakarta]","0.0","0.52"
"order","GET As an admin I have be able to get id order","SUCCESS","2023-05-07T12:04:10.510429+07:00[Asia/Jakarta]","0.0","0.29"
"category","GET  list of category","SUCCESS","2023-05-07T12:04:10.8475222+07:00[Asia/Jakarta]","0.0","0.47"
"category","POST As an admin I have be able to create new product category","SUCCESS","2023-05-07T12:04:11.3691301+07:00[Asia/Jakarta]","0.0","0.38"
"category","GET id product category","SUCCESS","2023-05-07T12:04:11.7830219+07:00[Asia/Jakarta]","0.0","0.33"
"category","DELETE category","SUCCESS","2023-05-07T12:04:12.1410629+07:00[Asia/Jakarta]","0.0","0.24"
